ref_sothebys,pagina,descripcion_sothebys,estimacion,codigo_actual,estado,notas
04,7,"Italian School, circa 1700. A classical garden with elegant figures.","$7,000 - $9,800",28A-1,confirmado,
19,13,Henri Hecht Maik (1922-1993). Two Lions. Oil on board.,"$840 - $1,120",21A-1,confirmado,
20,14,"A.M. Ciscar, 20th century. A couple strolling.","$4,200 - $5,600",181A-1,confirmado,
27,18,"The remaining work on the Stairs, comprising a watercolour of a doorway by Rossi, 2005; a watercolour of an Italian village by H.W. Cole; and an oil painting of the heads of four children.",$560 - $840,182A-1; 182A-2,confirmado,Item con dos imagenes
28,20,"The remaining watercolours and prints in the Master Bedroom, comprising eight modern architectural drawings in the Old Master taste and an early 18th century engraving of a member of the Pignatelli family.",$560 - $840,35A-1,confirmado,Solo el de Pignatelli
32,24,"The Fourth Floor Bedroom and Bathroom, comprising four Chinese watercolours of junks in two frames; three Chinese watercolours of butterflies; five engravings of lions and other large cats after Spilsbury, 19th century; four reproduction engravings in two frames after J. Moore; an engraving of temples and a further reproduction.","$840 - $1,120",120A-1; 120A-2; 120A-3,confirmado,Solo 3 cuadros Looney Keepa
36,29,"Nicolaes de Bruyn, 17th century. An Imaginary Animal Chasing an Insect. Engraving.",$420 - $560,14A-1,confirmado,
41,32,"A pair of Italian giltwood mirrors, mid 18th century, probably Neapolitan, associated plates, formerly frames.","$16,800 - $25,200",31A-1,confirmado,
45,33,"An early Louis XV style giltwood centre table, 19th century, with a marble top.","$5,600 - $8,400",15A-1,confirmado,
54,35,"A Louis XV carved beech console table, mid 18th century.","$2,100 - $3,500",92A-1,confirmado,
61,38,"A giltwood console table, possibly German, mid 18th century, with a fior di pesco marble top.","$14,000 - $21,000",77A-1,confirmado,
64,39,"A Régence giltwood wall bracket, early 18th century.","$3,500 - $5,600",78A-1,confirmado,
65,39,"An Italian giltwood and engraved overmantel mirror, mid 18th century, formerly a frame, cresting possibly associated.","$4,200 - $7,000",18A-1,confirmado,
66,39,"A Louis XV style beech, mahogany, rosewood, kingwood and gilt-bronze-mounted commode, 19th century, in the manner of J. J. Dubois, with a Spanish portor top.","$5,600 - $8,400",23A-1,confirmado,
73,42,"A pair of Louis XV style bombé walnut, marquetry and gilt-brass mounted commodes, late 19th century.","$7,000 - $9,800",56A-1,confirmado,
76,43,An Empire mahogany commode and a twin pedestal desk.,$600 - $900,119A-1,confirmado,
96,50,"A Louis XVI giltwood barometer, circa 1790.","$1,680 - $2,520",180A-1,confirmado,
97,50,"A Louis XV gilt-bronze cartel clock attributed to Jean-Joseph de Saint-Germain, circa 1748, with enamel dial; movement not inspected; case with crowned C poinçon.","$11,200 - $16,800",30A-1,confirmado,
107,59,"An Austrian silver ewer and basin, Vienna, 1836.","$2,100 - $2,800",54AC-1,confirmado,
109,59,"A silver rose bowl, London, 1891.",$560 - $840,178BB-1,confirmado,
112,60,"A Victorian ivory and silver crumb scoop, and fish servers.",$420 - $560,175A-1,confirmado,
114,60,"A large Italian silver tray, Milan, 1944-68.",$560 - $840,54A-1,confirmado,
116,60,"An Italian silver four-piece tea service in the William IV style, 20th century.","$1,120 - $1,680",173A-1,confirmado,
129,63,An electroplated steak set and ivory salad servers.,$280 - $420,312A-1,confirmado,
130,63,Referencia adicional confirmada manualmente.,"$1,120 - $1,680",311A-1,confirmado,Incorporada por confirmacion manual
131,64,"A French silver-gilt dessert service of 36 pieces, circa 1900.","$1,120 - $1,680",313A-1,confirmado,
